λ,espec_0,espec_1,espec_2,espec_3,espec_4,espec_5,espec_6,espec_7,espec_8,espec_9
0.7,-0.08901406706112844,-320.9453569086314,573.5535971377459,2132.8114496639405,9787.97242810745,-21711.825841811504,-138869.39303176352,-516325.1898679434,-463517.80831108533,376384.98217089794
0.7007081260988011,-0.08865776188236726,-317.40269778013266,567.1075402328864,2069.515971416712,9517.663367447576,-19690.07197979478,-136859.28111863555,-475045.9207118977,-382308.9963867852,503976.7871076925
0.7014169685441336,-0.08829638308047189,-313.9933274332698,588.2212004061104,2030.286091058138,9161.420307806275,-17448.35296680115,-136828.9492245702,-424542.35874486016,-298901.09924357454,684806.0316367128
0.7021265280606596,-0.08793566442697917,-310.94387619242224,620.9818736109532,2028.1886213008063,8701.215791905219,-15697.445640171225,-138932.45266351732,-375018.05566363735,-280184.8600604573,848979.6716403288
0.7028368053737746,-0.08756258595894136,-308.5735894364587,751.7945791838094,2130.475105496908,8144.27656568803,-15371.855743479675,-143784.34294369395,-291660.9693875286,-259230.14356371757,1065889.415938193
0.7035478012096076,-0.08718931467640997,-306.2357558129889,895.658706752119,2267.0099968341615,7493.195584308902,-15322.371642435732,-150407.21971254164,-211582.5165465041,-290229.65687906067,1282844.612968719
0.7042595162950231,-0.08681329256401844,-304.7730269049965,1105.2869112120552,2484.9508597373533,6853.813775791356,-17399.126580156495,-159522.31142981167,-104087.55224924897,-326826.91997800773,1448642.5182874002
0.7049719513576196,-0.08642667895490765,-303.22492241489937,1393.068753597806,2786.2757333118584,6125.3298832338105,-20363.095356600497,-170915.93900507846,26745.964195378227,-358849.6914797535,1681554.3038824806
0.7056851071257328,-0.08606635764954604,-301.37828240257045,1559.0126658367585,2975.858027865437,5629.572236352089,-23546.450650734012,-182843.20315990673,130358.71731002862,-395613.5343443989,1699888.2143935834
0.7063989843284344,-0.08568158694578555,-299.90629129146487,1882.4995175398597,3321.0668044203853,4955.327476358531,-28644.451586082487,-201138.2713375861,306093.0237182618,-390642.04414276197,1858616.5621148362
0.7071135836955339,-0.085367674848023,-296.4353843031755,1813.4281854910541,3278.970342228108,4885.995869407366,-31242.618606044933,-213742.77451567235,356797.20218047866,-400245.8051849383,1552160.8010748718
0.7078289059575791,-0.08503704115994684,-293.7308313061778,1840.3895314995682,3325.520900494487,4663.93013100183,-36002.42304138321,-239946.09786004803,515159.1764835149,-336836.2966474374,1301240.9734851427
0.708544951845857,-0.08474167471298034,-289.71322185509825,1669.5565019283574,3179.161153966105,4753.908759528005,-39116.16960469357,-259898.43534736053,595325.5950372608,-291925.3429624296,853219.9430830228
0.709261722092394,-0.08444814317062886,-286.148403430727,1475.5247559693676,2996.7962650275367,4828.962523980129,-43333.191817450854,-292875.19785354624,753232.4351801098,-173638.66186019877,339331.7609221815
0.7099792174299573,-0.0841455134167492,-282.2732932060776,1323.0722634982696,2867.162585336556,4857.877448909545,-47151.793318966455,-318100.62347783236,888954.9686722095,-96064.82962956124,-44223.17739518014
0.7106974385920554,-0.08385963109582192,-277.9289083735411,1068.4055236039414,2621.2426393238143,5046.058863353458,-49084.09496121714,-335563.39447755227,954978.0284344676,-30694.524651672942,-499173.5171956677
0.7114163863129386,-0.08354040083524569,-273.8107482377683,939.9826188435516,2493.2873997980973,5036.849164902768,-51563.46928924689,-353850.59863038815,1063572.845814029,35195.41093008319,-732653.3431576814
0.7121360613276001,-0.08322634562712702,-268.798891112731,772.2069789283419,2319.1200109604843,5152.676794079621,-50731.61525209167,-347556.29586818535,1018250.3761916547,7684.014873011373,-875584.3127526655
0.7128564643717767,-0.08288786355918012,-263.0769130415263,601.9074601958512,2102.532220515308,5277.572364889216,-48682.08213586581,-340154.25887571485,954483.3935653819,-11575.541247005405,-921915.9317124976
0.7135775961819494,-0.08254318781057123,-256.1093526349456,398.4042373608274,1852.0094462315108,5510.151071837733,-44701.37648581906,-316192.39805474837,792997.892329861,-108280.22792576141,-868644.4563554784
0.7142994574953441,-0.08219457070585989,-248.94587040829808,168.0315247843903,1524.887349991322,5819.610109203713,-38158.61174816451,-282798.33473255584,549000.11398149,-197288.74908336243,-789345.821786825
0.7150220490499325,-0.08182040475309585,-239.71788247123837,-159.17458986398637,1084.457945871682,6271.014842257176,-31908.598481357523,-257556.38131058656,333267.747917227,-283486.8016136903,-699554.5022953261
0.7157453715844335,-0.08146873701402246,-232.39438345666858,-393.7636906112666,743.7157781540909,6634.269694942648,-25700.125659311583,-223261.62010153753,96538.21288574507,-350555.768545773,-606164.7901587415
0.7164694258383123,-0.08109785053126162,-223.88514897636927,-697.125582905216,327.8885358383976,7052.620021035865,-20171.380511098003,-202928.85907447123,-84263.34766778545,-396722.7286886876,-532342.4951542027
0.7171942125517827,-0.08076550339823957,-218.97388381683814,-804.7727286440826,152.96309019179594,7242.09255479933,-17403.57052380741,-178638.01292652858,-198880.7825054487,-391941.4590540811,-478573.07196238835
0.717919732465807,-0.0804480801484956,-216.0600537371428,-823.0731905950562,119.27977565336057,7194.285735297862,-15437.255243205058,-162201.2627857652,-273403.8511635103,-390040.7008762946,-424472.9284112161
0.7186459863220976,-0.08013943687364189,-214.97071544369928,-731.4900707816693,222.7452311381006,6978.370268267475,-16224.882840343056,-158475.17746636478,-214093.2686527941,-340249.9585461084,-401670.5725984704
0.7193729748631169,-0.07986342348094035,-217.08051041442002,-482.527883255172,544.4545975544661,6474.62779880905,-18123.65807247531,-153346.2335761325,-132902.52027995957,-288446.24653478904,-377437.2273921807
